#{"t_start": 1785248618.500788, "env_id": "CartPole-v1"}
r,l,t
9.0,9,2.740636
10.0,10,2.742858
10.0,10,2.745812
9.0,9,2.747882
9.0,9,2.749918
9.0,9,2.753187
9.0,9,2.756294
9.0,9,2.75977
8.0,8,2.767379
9.0,9,2.770629
10.0,10,2.773824
10.0,10,2.776525
9.0,9,2.779013
14.0,14,2.782194
11.0,11,2.785146
9.0,9,2.787374
9.0,9,2.789668
11.0,11,2.794679
10.0,10,2.796864
10.0,10,2.7988
10.0,10,2.801408
11.0,11,2.803562
10.0,10,2.806117
10.0,10,2.808137
9.0,9,2.810815
11.0,11,2.813324
9.0,9,2.815893
9.0,9,2.817811
10.0,10,2.820455
9.0,9,2.824028
9.0,9,2.826779
12.0,12,2.829648
9.0,9,2.831487
11.0,11,2.834152
9.0,9,2.836008
11.0,11,2.838845
9.0,9,2.840792
10.0,10,2.843236
9.0,9,2.84506
9.0,9,2.846999
10.0,10,2.84928
8.0,8,2.850922
9.0,9,2.852561
10.0,10,2.854573
12.0,12,2.85724
9.0,9,2.859523
9.0,9,2.861225
9.0,9,2.862921
11.0,11,2.8652
9.0,9,2.866903
10.0,10,2.869147
11.0,11,2.871142
10.0,10,2.873363
9.0,9,2.875042
10.0,10,2.877263
9.0,9,2.879025
9.0,9,2.88072
9.0,9,2.882387
9.0,9,2.884534
9.0,9,2.886387
9.0,9,2.888146
10.0,10,2.890689
10.0,10,2.892692
8.0,8,2.89444
9.0,9,2.896223
9.0,9,2.898914
11.0,11,2.900871
9.0,9,2.903265
9.0,9,2.905226
12.0,12,2.908213
10.0,10,2.910007
9.0,9,2.912243
9.0,9,2.913865
9.0,9,2.915533
10.0,10,2.917776
9.0,9,2.919555
12.0,12,2.922801
10.0,10,2.924742
10.0,10,2.927075
10.0,10,2.928925
9.0,9,2.931117
9.0,9,2.932827
8.0,8,2.934473
9.0,9,2.93623
11.0,11,2.938889
12.0,12,2.941267
10.0,10,2.94307
9.0,9,2.945244
11.0,11,2.947005
11.0,11,2.949207
12.0,12,2.951513
9.0,9,2.953323
9.0,9,2.955782
10.0,10,2.957515
9.0,9,2.959212
8.0,8,2.960822
9.0,9,2.962972
10.0,10,2.964712
10.0,10,2.966919
10.0,10,2.968755
10.0,10,2.971256
12.0,12,2.973577
9.0,9,2.975307
10.0,10,2.97705
10.0,10,2.979197
10.0,10,2.980954
10.0,10,2.983205
9.0,9,2.984841
9.0,9,2.986719
9.0,9,2.989101
10.0,10,2.99083
9.0,9,2.992513
10.0,10,2.994774
11.0,11,2.997106
8.0,8,2.998755
10.0,10,3.000523
9.0,9,3.002199
9.0,9,3.004552
10.0,10,3.006419
8.0,8,3.008138
10.0,10,3.010449
8.0,8,3.012058
13.0,13,3.014442
11.0,11,3.016761
11.0,11,3.018576
11.0,11,3.021061
10.0,10,3.023382
10.0,10,3.025163
8.0,8,3.026805
11.0,11,3.029045
9.0,9,3.030799
9.0,9,3.032491
10.0,10,3.034724
10.0,10,3.036536
11.0,11,3.038878
10.0,10,3.041155
9.0,9,3.042759
9.0,9,3.044436
10.0,10,3.046702
9.0,9,3.048394
10.0,10,3.050149
10.0,10,3.052368
9.0,9,3.054145
10.0,10,3.056571
9.0,9,3.05832
9.0,9,3.060085
9.0,9,3.061749
9.0,9,3.063926
10.0,10,3.06563
9.0,9,3.067297
9.0,9,3.069556
9.0,9,3.071316
10.0,10,3.07306
11.0,11,3.075411
10.0,10,3.07757
8.0,8,3.079217
10.0,10,3.080951
10.0,10,3.083139
9.0,9,3.085145
10.0,10,3.087885
10.0,10,3.090975
8.0,8,3.094603
8.0,8,3.096543
8.0,8,3.099615
10.0,10,3.103452
9.0,9,3.107695
10.0,10,3.111364
8.0,8,3.11335
10.0,10,3.118497
10.0,10,3.121992
10.0,10,3.125198
9.0,9,3.128039
9.0,9,3.129719
10.0,10,3.132034
9.0,9,3.133757
12.0,12,3.136217
9.0,9,3.13795
10.0,10,3.140249
9.0,9,3.141956
8.0,8,3.143594
10.0,10,3.145424
9.0,9,3.147671
9.0,9,3.149332
9.0,9,3.151046
8.0,8,3.152665
9.0,9,3.154588
8.0,8,3.156385
10.0,10,3.158661
9.0,9,3.160357
9.0,9,3.162077
9.0,9,3.164233
10.0,10,3.169755
10.0,10,3.172284
8.0,8,3.173986
8.0,8,3.175655
9.0,9,3.177371
10.0,10,3.179131
11.0,11,3.181392
10.0,10,3.183595
10.0,10,3.18533
10.0,10,3.187699
8.0,8,3.189262
9.0,9,3.190864
9.0,9,3.192589
8.0,8,3.194161
9.0,9,3.195806
8.0,8,3.197311
9.0,9,3.199462
10.0,10,3.201208
9.0,9,3.202875
9.0,9,3.205073
9.0,9,3.206702
10.0,10,3.208465
10.0,10,3.210622
11.0,11,3.212951
14.0,14,3.215284
10.0,10,3.217607
10.0,10,3.219302
8.0,8,3.221038
9.0,9,3.222799
10.0,10,3.2251
10.0,10,3.226797
8.0,8,3.228272
10.0,10,3.230513
8.0,8,3.232129
10.0,10,3.233845
9.0,9,3.236121
9.0,9,3.237779
