run_name,algo,env_id,checkpoint_steps,bias_mean,bias_std,relative_bias,q_pred_mean,mc_return_mean,reeval_mean,reeval_std,saved_at_timesteps
dqn_CartPole-v1_steps1000000_seed3,dqn,CartPole-v1,350000,-51.923854135630066,8.765743129987648,-0.6280069957250096,30.756521224975586,82.68037536060565,186.36,71.9874322364675,350000
dqn_CartPole-v1_steps1000000_seed3,dqn,CartPole-v1,400000,-44.596356425660595,2.019129516807254,-0.5636216308690674,34.52827964782715,79.12463607348774,156.06,9.884148926437723,400000
dqn_CartPole-v1_steps1000000_seed3,dqn,CartPole-v1,450000,-36.505371862057714,1.476430960999031,-0.48800595573374195,38.299805068969725,74.80517693102745,135.52,17.505701928228984,450000
dqn_CartPole-v1_steps1000000_seed3,dqn,CartPole-v1,500000,-35.296996451881576,1.8812925920546097,-0.4584087222047747,41.701967010498045,76.99896346237962,146.2,6.6783231428256,500000
dqn_CartPole-v1_steps1000000_seed3,dqn,CartPole-v1,550000,-30.765365231833158,1.6514772823344452,-0.40556414755504544,45.09283233642578,75.85819756825894,141.04,6.942506751887246,550000
dqn_CartPole-v1_steps1000000_seed3,dqn,CartPole-v1,600000,-35.00939632425217,2.985252749382619,-0.42039712905613513,48.26756706237793,83.2769633866301,178.86,18.280054704513333,600000
dqn_CartPole-v1_steps1000000_seed3,dqn,CartPole-v1,650000,-8.502813650676531,19.357948519367657,-0.1431379320644967,50.90012397766113,59.40293762833766,120.78,75.92240512523297,650000
dqn_CartPole-v1_steps1000000_seed3,dqn,CartPole-v1,700000,-20.265250319090555,0.9684681222508985,-0.2747485632428496,53.494008255004886,73.75925857409544,133.08,3.999199919983996,700000
dqn_CartPole-v1_steps1000000_seed3,dqn,CartPole-v1,750000,-16.831536464636663,0.67673918165769,-0.2304533281455209,56.20510223388672,73.03663869852339,130.2,2.4657656011875906,750000
dqn_CartPole-v1_steps1000000_seed3,dqn,CartPole-v1,800000,-23.47824546594014,0.6518209753829806,-0.2858632078045197,58.65280471801758,82.13105018395773,171.6,3.862641583165593,800000
dqn_CartPole-v1_steps1000000_seed3,dqn,CartPole-v1,850000,-38.53783221944016,0.065499020650536,-0.38792719122604397,60.80511947631836,99.34295169575852,500.0,0.0,850000
dqn_CartPole-v1_steps1000000_seed3,dqn,CartPole-v1,900000,-35.903794773688524,0.9151536283621627,-0.3634301334208193,62.88766876220703,98.79146353589555,455.68,47.381194581816956,900000
dqn_CartPole-v1_steps1000000_seed3,dqn,CartPole-v1,950000,-34.47241183980149,0.02278746281408021,-0.3470041029722424,64.87053985595703,99.34295169575852,493.98,32.518603906071995,950000
dqn_CartPole-v1_steps1000000_seed3,dqn,CartPole-v1,1000000,-29.364382366378127,1.1359387047520886,-0.30555436300362276,66.73760772705079,96.10199009342888,328.76,38.69705931979845,1000000
