#{"t_start": 1787608358.6492941, "env_id": "CartPole-v1"}
r,l,t
31.0,31,2.67584
17.0,17,2.678187
12.0,12,2.679839
11.0,11,2.681564
10.0,10,2.683213
13.0,13,2.684986
27.0,27,2.688908
16.0,16,2.691173
14.0,14,2.692932
21.0,21,2.69586
18.0,18,2.698479
14.0,14,2.700191
13.0,13,2.702325
13.0,13,2.703992
20.0,20,2.706802
26.0,26,2.710129
15.0,15,2.712396
17.0,17,2.714654
39.0,39,2.72
9.0,9,2.721208
16.0,16,2.727727
9.0,9,2.729679
18.0,18,2.732251
11.0,11,2.734195
34.0,34,2.739118
18.0,18,2.742055
17.0,17,2.74434
16.0,16,2.746606
36.0,36,2.751798
21.0,21,2.754686
46.0,46,2.761341
17.0,17,2.763543
17.0,17,2.765928
25.0,25,2.769678
10.0,10,2.770902
11.0,11,2.772528
17.0,17,2.775058
25.0,25,2.778491
11.0,11,2.780126
12.0,12,2.781832
49.0,49,2.788645
19.0,19,2.791336
31.0,31,2.795733
17.0,17,2.798156
32.0,32,2.802693
62.0,62,2.811534
18.0,18,2.813797
26.0,26,2.817514
36.0,36,2.822596
19.0,19,2.825097
13.0,13,2.82794
20.0,20,2.830758
14.0,14,2.832525
23.0,23,2.835774
12.0,12,2.837419
16.0,16,2.839559
51.0,51,2.846789
28.0,28,2.850527
29.0,29,2.854419
15.0,15,2.85655
16.0,16,2.85882
15.0,15,2.860591
16.0,16,2.862879
9.0,9,2.864436
28.0,28,2.868502
25.0,25,2.871987
20.0,20,2.874749
20.0,20,2.877667
11.0,11,2.879318
16.0,16,2.88155
19.0,19,2.883809
22.0,22,2.887016
15.0,15,2.889252
10.0,10,2.890489
17.0,17,2.892662
20.0,20,2.895386
16.0,16,2.897666
10.0,10,2.899247
15.0,15,2.901588
14.0,14,2.903284
14.0,14,2.905401
17.0,17,2.90771
15.0,15,2.910018
21.0,21,2.912804
22.0,22,2.915723
42.0,42,2.921884
14.0,14,2.923622
29.0,29,2.927848
19.0,19,2.930265
32.0,32,2.934845
8.0,8,2.93602
13.0,13,2.938198
26.0,26,2.941635
11.0,11,2.943278
15.0,15,2.94552
15.0,15,2.947363
11.0,11,2.948965
49.0,49,2.955793
17.0,17,2.958427
19.0,19,2.960853
20.0,20,2.96366
22.0,22,2.966887
12.0,12,2.968652
18.0,18,2.970974
25.0,25,2.974849
20.0,20,2.977773
27.0,27,2.981162
15.0,15,2.98341
11.0,11,2.985168
22.0,22,2.988114
23.0,23,2.9914
59.0,59,2.999937
18.0,18,3.002216
16.0,16,3.004566
39.0,39,3.010117
26.0,26,3.018803
17.0,17,3.02137
17.0,17,3.024208
9.0,9,3.025379
19.0,19,3.02818
19.0,19,3.031038
23.0,23,3.034857
33.0,33,3.039414
36.0,36,3.044631
17.0,17,3.047022
53.0,53,3.054842
16.0,16,3.057071
18.0,18,3.059732
10.0,10,3.060987
18.0,18,3.063655
18.0,18,3.066003
18.0,18,3.068896
12.0,12,3.070535
38.0,38,3.075755
20.0,20,3.078672
17.0,17,3.081328
14.0,14,3.083229
13.0,13,3.084892
12.0,12,3.086745
18.0,18,3.089608
17.0,17,3.091888
15.0,15,3.094127
14.0,14,3.096061
31.0,31,3.100534
16.0,16,3.102886
31.0,31,3.107265
12.0,12,3.108904
19.0,19,3.111665
14.0,14,3.113528
13.0,13,3.115326
16.0,16,3.117556
20.0,20,3.12038
19.0,19,3.123448
14.0,14,3.125725
19.0,19,3.128136
23.0,23,3.131608
29.0,29,3.135755
17.0,17,3.138555
19.0,19,3.141123
18.0,18,3.144009
12.0,12,3.145786
11.0,11,3.147725
23.0,23,3.150532
17.0,17,3.153251
39.0,39,3.158382
60.0,60,3.167165
12.0,12,3.168933
15.0,15,3.17125
13.0,13,3.173163
17.0,17,3.175816
28.0,28,3.17975
16.0,16,3.182017
34.0,34,3.186617
32.0,32,3.191333
