#{"t_start": 1787584686.092246, "env_id": "CartPole-v1"}
r,l,t
9.0,9,2.166712
9.0,9,2.168225
8.0,8,2.169724
9.0,9,2.171755
10.0,10,2.173509
10.0,10,2.17562
10.0,10,2.177251
10.0,10,2.179292
9.0,9,2.180895
8.0,8,2.18249
10.0,10,2.184131
9.0,9,2.186092
9.0,9,2.187578
10.0,10,2.189271
9.0,9,2.191283
9.0,9,2.192898
8.0,8,2.194349
10.0,10,2.195948
10.0,10,2.19791
9.0,9,2.19941
10.0,10,2.201397
12.0,12,2.207026
10.0,10,2.208776
8.0,8,2.210366
9.0,9,2.212059
9.0,9,2.214046
10.0,10,2.215576
10.0,10,2.217798
9.0,9,2.219307
10.0,10,2.220908
10.0,10,2.222973
9.0,9,2.224694
9.0,9,2.226508
9.0,9,2.228552
10.0,10,2.23018
10.0,10,2.232213
9.0,9,2.233774
10.0,10,2.235364
9.0,9,2.237311
9.0,9,2.238822
9.0,9,2.240586
9.0,9,2.2422
10.0,10,2.244194
10.0,10,2.24582
8.0,8,2.247274
10.0,10,2.249316
8.0,8,2.250759
9.0,9,2.252279
11.0,11,2.254309
10.0,10,2.256026
10.0,10,2.258077
11.0,11,2.260105
9.0,9,2.261641
10.0,10,2.263301
8.0,8,2.264739
10.0,10,2.266794
9.0,9,2.268293
9.0,9,2.269813
8.0,8,2.27122
9.0,9,2.273237
9.0,9,2.27477
9.0,9,2.276225
9.0,9,2.277742
10.0,10,2.279736
9.0,9,2.281286
9.0,9,2.282825
11.0,11,2.284851
9.0,9,2.286378
10.0,10,2.288356
10.0,10,2.290167
10.0,10,2.292197
10.0,10,2.293776
11.0,11,2.29581
8.0,8,2.297319
10.0,10,2.299256
8.0,8,2.300686
9.0,9,2.302126
10.0,10,2.303659
10.0,10,2.305601
10.0,10,2.3073
8.0,8,2.308685
10.0,10,2.310645
8.0,8,2.312058
9.0,9,2.313662
11.0,11,2.315785
9.0,9,2.317314
11.0,11,2.319323
11.0,11,2.321386
10.0,10,2.323165
10.0,10,2.325263
9.0,9,2.326806
9.0,9,2.328328
10.0,10,2.330419
9.0,9,2.331955
10.0,10,2.333537
10.0,10,2.33553
9.0,9,2.336956
10.0,10,2.339028
9.0,9,2.340676
9.0,9,2.342198
10.0,10,2.344207
9.0,9,2.345746
10.0,10,2.347356
10.0,10,2.349316
10.0,10,2.350839
9.0,9,2.352826
10.0,10,2.354563
9.0,9,2.356238
11.0,11,2.358492
10.0,10,2.360938
9.0,9,2.362603
10.0,10,2.364283
9.0,9,2.366245
10.0,10,2.367845
12.0,12,2.37007
10.0,10,2.372168
10.0,10,2.373935
8.0,8,2.375392
10.0,10,2.377461
12.0,12,2.379656
10.0,10,2.38122
8.0,8,2.382688
9.0,9,2.384253
11.0,11,2.386401
9.0,9,2.387914
10.0,10,2.39007
11.0,11,2.392315
9.0,9,2.393781
8.0,8,2.395275
9.0,9,2.396843
9.0,9,2.398365
8.0,8,2.399767
9.0,9,2.401657
10.0,10,2.403317
10.0,10,2.405423
12.0,12,2.407657
10.0,10,2.409283
10.0,10,2.411459
